date, Wind power forecast, Ampirion zonal load forecast,OT
2012/1/9 0:00,2072,16382,34.97
2012/1/9 1:00,1929.75,15410.5,33.43
2012/1/9 2:00,1856,15595,32.74
2012/1/9 3:00,1808.75,16521,32.46
2012/1/9 4:00,1765.75,17700.75,32.5
2012/1/9 5:00,1721.75,19348.75,36.13
2012/1/9 6:00,1691.25,23058.5,43.02
2012/1/9 7:00,1723.25,25349.25,59.03
2012/1/9 8:00,1807.75,26336.75,64.48
2012/1/9 9:00,1907.5,26321,58.72
2012/1/9 10:00,2066.25,26702.25,56.48
2012/1/9 11:00,2208.25,27067.25,56.04
2012/1/9 12:00,2378,27118.25,55.7
2012/1/9 13:00,2576.25,27294,54.84
2012/1/9 14:00,2789.5,26945,52.32
2012/1/9 15:00,3099.75,26476.25,50.72
2012/1/9 16:00,3401.75,26262.75,51.89
2012/1/9 17:00,3735.75,27124.75,57.02
2012/1/9 18:00,4165.25,27223.75,61.27
2012/1/9 19:00,4509,26864.75,53.2
2012/1/9 20:00,4810,25721.5,47.31
2012/1/9 21:00,4988.5,24687.25,42
2012/1/9 22:00,5098.75,23773.25,42.19
2012/1/9 23:00,5326.75,21544,41.34
2012/1/10 0:00,6637.5,19653.5,31.92
2012/1/10 1:00,6715.5,18728.75,31.11
2012/1/10 2:00,6652.75,18267.5,30.71
2012/1/10 3:00,6381.25,18869.5,28.06
2012/1/10 4:00,6059.25,19515.5,30.5
2012/1/10 5:00,5595,20626.5,33.82
2012/1/10 6:00,5112.25,23725.25,39.82
2012/1/10 7:00,4673.75,26307.5,47.99
2012/1/10 8:00,4253.25,27139.5,52.96
2012/1/10 9:00,3917.75,27179.5,51.06
2012/1/10 10:00,3607.5,27406,51.06
2012/1/10 11:00,3285.25,27814.25,53
2012/1/10 12:00,3017,27924.25,52.21
2012/1/10 13:00,2772,27863.25,52.96
2012/1/10 14:00,2570.25,27100.75,51.99
2012/1/10 15:00,2385.75,26729.75,51.94
2012/1/10 16:00,2288.5,26989.75,54.96
2012/1/10 17:00,2352,27868.75,61.18
2012/1/10 18:00,2538.5,27728.5,61.18
2012/1/10 19:00,2744.25,27200,56.79
2012/1/10 20:00,2950,26211,48
2012/1/10 21:00,3134.75,25286.5,42.74
2012/1/10 22:00,3300.5,23835.75,42.93
2012/1/10 23:00,3406.25,21477.25,39.67
2012/1/11 0:00,3637.75,19162.75,40.09
2012/1/11 1:00,3925,18353.75,35.92
2012/1/11 2:00,4170.5,18304.25,34.08
2012/1/11 3:00,4459.25,18664.75,29.41
2012/1/11 4:00,4727.75,19372.75,30.11
2012/1/11 5:00,4897.25,20418,36.11
2012/1/11 6:00,5019.5,23549,44
2012/1/11 7:00,5135.75,26177,52
2012/1/11 8:00,5292.5,27151.5,51.91
2012/1/11 9:00,5424.5,27245,51.96
2012/1/11 10:00,5575,27582.75,51.43
2012/1/11 11:00,5740,27984.5,51.99
2012/1/11 12:00,5724.5,28054.5,51.56
2012/1/11 13:00,5597.5,27900.25,50.39
2012/1/11 14:00,5345.75,27226.75,49.03
2012/1/11 15:00,5048.5,26898.5,50.92
2012/1/11 16:00,4779.5,27007.5,49.09
2012/1/11 17:00,4527.75,27847.25,60.2
2012/1/11 18:00,4310,27710,70.99
2012/1/11 19:00,4180.75,27064.25,62.31
2012/1/11 20:00,4143.75,26020.75,56.18
2012/1/11 21:00,4238.5,24954,47.93
2012/1/11 22:00,4494.5,23477.75,47.91
2012/1/11 23:00,4876.25,21096.5,42.48
2012/1/12 0:00,5438.25,18918.5,40.42
2012/1/12 1:00,6124,18156.5,34.44
2012/1/12 2:00,6783,18128,32.02
2012/1/12 3:00,7460.75,18612.25,28.89
2012/1/12 4:00,8107.5,19280.5,29.21
2012/1/12 5:00,8879,20398.75,32.02
2012/1/12 6:00,9683,23854.25,45.21
2012/1/12 7:00,10372.5,24713.75,52.79
