date, Generation forecast, System load forecast,OT
2011/1/9 0:00,63065,63000,32.542
2011/1/9 1:00,62715,58800,21.549
2011/1/9 2:00,61952,58500,15.711
2011/1/9 3:00,59262,54300,10.583
2011/1/9 4:00,56883,51900,10.324
2011/1/9 5:00,56332,50900,10.325
2011/1/9 6:00,55096,50100,9.223
2011/1/9 7:00,55507,51000,10.002
2011/1/9 8:00,58763,53200,10.191
2011/1/9 9:00,60500,54800,30
2011/1/9 10:00,63192,57800,46.022
2011/1/9 11:00,64278,59900,50.835
2011/1/9 12:00,65547,61900,53.024
2011/1/9 13:00,64460,64700,46.616
2011/1/9 14:00,63373,59800,43.441
2011/1/9 15:00,63280,58300,36.36
2011/1/9 16:00,62791,56900,39.222
2011/1/9 17:00,64533,58800,56.276
2011/1/9 18:00,69141,64300,63.02
2011/1/9 19:00,69446,67200,62.379
2011/1/9 20:00,67761,68100,57.473
2011/1/9 21:00,66266,65400,49.373
2011/1/9 22:00,65710,62300,52.013
2011/1/9 23:00,65757,65400,47.004
2011/1/10 0:00,65565,64100,30
2011/1/10 1:00,64758,60300,25.091
2011/1/10 2:00,64689,61000,20.566
2011/1/10 3:00,64190,58100,15.036
2011/1/10 4:00,64147,56200,15.702
2011/1/10 5:00,64693,57200,25.635
2011/1/10 6:00,67325,60500,51.641
2011/1/10 7:00,73016,68300,63.304
2011/1/10 8:00,76086,73700,62.99
2011/1/10 9:00,74958,74300,61.202
2011/1/10 10:00,74666,75000,62.669
2011/1/10 11:00,73932,75400,62.978
2011/1/10 12:00,73921,76500,62.88
2011/1/10 13:00,73069,77600,61.405
2011/1/10 14:00,72046,74800,60.505
2011/1/10 15:00,72087,73400,57.519
2011/1/10 16:00,72232,72200,59.922
2011/1/10 17:00,75967,73400,67.1
2011/1/10 18:00,78980,79300,69.93
2011/1/10 19:00,76756,82400,63.182
2011/1/10 20:00,73823,79800,54.717
2011/1/10 21:00,69858,74900,43.936
2011/1/10 22:00,69661,70300,43.375
2011/1/10 23:00,68814,73400,32.324
2011/1/11 0:00,67939,69600,47.31
2011/1/11 1:00,66564,65600,45.011
2011/1/11 2:00,66398,66100,41.91
2011/1/11 3:00,66064,63200,34.15
2011/1/11 4:00,66035,60700,35.015
2011/1/11 5:00,66599,61000,44.919
2011/1/11 6:00,68119,64400,49.814
2011/1/11 7:00,72495,71300,63.076
2011/1/11 8:00,74873,76600,64.851
2011/1/11 9:00,74473,76200,63.045
2011/1/11 10:00,73965,75900,62.681
2011/1/11 11:00,74444,75000,63.696
2011/1/11 12:00,74554,75700,65.028
2011/1/11 13:00,74409,76500,65.036
2011/1/11 14:00,73949,74300,62.952
2011/1/11 15:00,72926,72600,60
2011/1/11 16:00,74924,71500,62.941
2011/1/11 17:00,77678,72300,69.037
2011/1/11 18:00,77710,76700,71.614
2011/1/11 19:00,77496,79400,67.992
2011/1/11 20:00,74617,76300,63.672
2011/1/11 21:00,70768,71000,53.285
2011/1/11 22:00,69797,67100,56.182
2011/1/11 23:00,67142,69700,49.325
2011/1/12 0:00,66461,68400,37.932
2011/1/12 1:00,66270,64400,34.015
2011/1/12 2:00,65437,64900,24.287
2011/1/12 3:00,64689,62000,16.507
2011/1/12 4:00,65562,59900,14.059
2011/1/12 5:00,66296,60200,32.546
2011/1/12 6:00,67702,64100,43.692
2011/1/12 7:00,72055,69900,57.653
2011/1/12 8:00,75300,75800,60
2011/1/12 9:00,75139,76700,60.38
2011/1/12 10:00,74585,76700,61.429
2011/1/12 11:00,75036,76400,63.053
2011/1/12 12:00,73782,77000,60.429
2011/1/12 13:00,73125,77200,59.845
2011/1/12 14:00,72438,75100,60.003
2011/1/12 15:00,71351,73000,57.913
2011/1/12 16:00,72075,71500,59.424
2011/1/12 17:00,74347,71600,66.173
2011/1/12 18:00,75294,75600,66.75
2011/1/12 19:00,74400,78600,59.94
2011/1/12 20:00,71423,74900,52.1
2011/1/12 21:00,68668,69400,46.832
2011/1/12 22:00,67800,65400,48.565
2011/1/12 23:00,67195,68400,43.891
2011/1/13 0:00,65404,66900,31.041
2011/1/13 1:00,64519,61700,24.93
2011/1/13 2:00,64094,61800,16.656
2011/1/13 3:00,62278,59200,10.459
2011/1/13 4:00,61688,56700,10.284
2011/1/13 5:00,63172,57000,14.397
2011/1/13 6:00,65448,60600,46.079
2011/1/13 7:00,71039,67800,62.113
2011/1/13 8:00,72894,73500,62.417
2011/1/13 9:00,72491,72800,58.695
2011/1/13 10:00,72376,72200,56.958
2011/1/13 11:00,72707,72200,59.216
2011/1/13 12:00,72084,72700,56.189
2011/1/13 13:00,71645,72300,53.279
2011/1/13 14:00,70643,70700,50.538
2011/1/13 15:00,69132,68300,47.03
2011/1/13 16:00,68354,66800,40.01
2011/1/13 17:00,70896,66800,54.566
2011/1/13 18:00,73178,72400,64.948
2011/1/13 19:00,73313,75300,57.919
2011/1/13 20:00,70557,71700,54.451
2011/1/13 21:00,66276,66800,48.598
2011/1/13 22:00,65292,63200,49.436
2011/1/13 23:00,65122,66300,43.808
2011/1/14 0:00,64192,63700,25.206
2011/1/14 1:00,63133,59300,18.026
2011/1/14 2:00,63047,59800,14.079
2011/1/14 3:00,61551,56600,10.364
2011/1/14 4:00,62032,54600,10.51
2011/1/14 5:00,63476,55200,22.897
2011/1/14 6:00,66287,59000,43.087
2011/1/14 7:00,71646,66300,62.206
2011/1/14 8:00,73873,72900,65.006
2011/1/14 9:00,73011,72100,64.479
2011/1/14 10:00,72439,71900,61.262
2011/1/14 11:00,72311,71700,61.421
2011/1/14 12:00,71938,71400,57
2011/1/14 13:00,71446,71300,54.283
2011/1/14 14:00,70116,68600,50.701
2011/1/14 15:00,69359,66300,48.097
2011/1/14 16:00,69365,65200,50.127
2011/1/14 17:00,71559,65700,58.438
2011/1/14 18:00,73792,70800,61.279
2011/1/14 19:00,73735,73100,58.349
2011/1/14 20:00,70543,69800,51.406
2011/1/14 21:00,66936,66100,49.359
2011/1/14 22:00,65695,63100,51.404
2011/1/14 23:00,64921,66100,44.079
2011/1/15 0:00,63724,63800,36.538
2011/1/15 1:00,62233,59200,30.297
