date, System load forecast, Zonal COMED load foecast,OT
2013/1/1 0:00,85049,11509,25.464211
2013/1/1 1:00,82128,10942,23.554578
2013/1/1 2:00,80729,10639,22.122277
2013/1/1 3:00,80248,10476,21.592066
2013/1/1 4:00,80850,10445,21.546501
2013/1/1 5:00,82642,10515,21.962992
2013/1/1 6:00,85575,10745,23.986774
2013/1/1 7:00,88892,11148,24.609571
2013/1/1 8:00,91735,11303,26.730549
2013/1/1 9:00,93590,11533,26.677503
2013/1/1 10:00,94099,11663,28.124666
2013/1/1 11:00,93758,11703,28.460413
2013/1/1 12:00,93167,11658,27.868985
2013/1/1 13:00,92463,11592,27.228647
2013/1/1 14:00,91733,11532,27.198835
2013/1/1 15:00,92229,11521,27.162212
2013/1/1 16:00,95575,11671,28.44099
2013/1/1 17:00,102999,12533,32.919225
2013/1/1 18:00,106324,13474,35.47654
2013/1/1 19:00,106186,13723,32.70079
2013/1/1 20:00,105285,13681,31.574243
2013/1/1 21:00,102486,13487,30.184456
2013/1/1 22:00,97998,13132,28.898003
2013/1/1 23:00,92715,12462,27.727931
2013/1/2 0:00,90904,11664,26.698947
2013/1/2 1:00,88707,11134,26.025287
2013/1/2 2:00,87913,10825,25.69928
2013/1/2 3:00,88260,10692,25.55645
2013/1/2 4:00,90315,10701,25.542177
2013/1/2 5:00,95731,10955,26.900783
2013/1/2 6:00,104247,11626,31.25431
2013/1/2 7:00,109482,12603,39.243666
2013/1/2 8:00,109726,13076,39.269649
2013/1/2 9:00,108557,13147,38.174664
2013/1/2 10:00,107367,13150,38.020335
2013/1/2 11:00,105715,13127,34.263937
2013/1/2 12:00,103992,13038,31.32592
2013/1/2 13:00,102758,12887,30.893552
2013/1/2 14:00,101611,12813,30.627191
2013/1/2 15:00,101396,12667,30.902632
2013/1/2 16:00,104506,12705,32.363577
2013/1/2 17:00,112423,13454,46.955724
2013/1/2 18:00,116333,14179,52.555534
2013/1/2 19:00,116038,14101,41.374289
2013/1/2 20:00,114877,13936,40.806692
2013/1/2 21:00,111597,13687,34.686867
2013/1/2 22:00,105907,13151,31.982496
2013/1/2 23:00,99581,12255,28.500463
2013/1/3 0:00,94180,11371,26.001234
2013/1/3 1:00,91996,10815,24.875769
2013/1/3 2:00,91258,10519,24.336918
2013/1/3 3:00,91693,10375,24.389793
2013/1/3 4:00,93899,10398,24.583507
2013/1/3 5:00,99361,10650,25.718807
2013/1/3 6:00,107720,11295,30.89055
2013/1/3 7:00,112520,12352,37.146193
2013/1/3 8:00,111899,12870,34.056527
2013/1/3 9:00,109827,12985,33.869153
2013/1/3 10:00,107821,13044,32.328064
2013/1/3 11:00,105505,13090,31.120099
2013/1/3 12:00,103282,13048,28.745493
2013/1/3 13:00,101703,12988,28.488523
2013/1/3 14:00,100228,12973,28.185189
2013/1/3 15:00,99931,12917,28.234109
2013/1/3 16:00,102722,12928,28.866924
2013/1/3 17:00,110365,13552,34.312004
2013/1/3 18:00,114042,14271,34.901154
2013/1/3 19:00,113853,14254,35.068264
2013/1/3 20:00,112704,14020,33.541153
2013/1/3 21:00,109494,13723,30.513043
2013/1/3 22:00,103777,13221,28.78351
2013/1/3 23:00,97597,12403,27.425999
2013/1/4 0:00,94046,11656,24.948989
2013/1/4 1:00,91776,11086,23.28389
2013/1/4 2:00,90989,10782,22.823623
2013/1/4 3:00,91238,10627,22.492204
2013/1/4 4:00,93163,10640,23.148631
2013/1/4 5:00,98293,10893,23.954595
2013/1/4 6:00,106389,11537,29.208177
2013/1/4 7:00,111294,12535,32.667029
2013/1/4 8:00,111091,12940,33.150181
2013/1/4 9:00,109381,12965,31.099946
2013/1/4 10:00,107600,12911,30.185545
2013/1/4 11:00,105286,12857,28.725963
2013/1/4 12:00,102986,12717,27.898958
2013/1/4 13:00,101226,12544,27.53963
2013/1/4 14:00,99588,12463,27.421755
2013/1/4 15:00,98888,12321,27.119871
2013/1/4 16:00,101019,12292,27.974417
2013/1/4 17:00,107431,12893,32.669141
2013/1/4 18:00,110434,13523,34.089664
2013/1/4 19:00,109749,13578,31.907462
2013/1/4 20:00,108627,13356,30.490898
2013/1/4 21:00,106149,13093,29.503952
2013/1/4 22:00,101718,12694,28.100554
2013/1/4 23:00,96382,11981,26.360153
2013/1/5 0:00,89957,11200,25.889003
2013/1/5 1:00,87235,10605,23.953225
2013/1/5 2:00,85909,10237,23.011797
2013/1/5 3:00,85676,10028,22.312382
2013/1/5 4:00,86375,9949,22.260985
2013/1/5 5:00,88463,10021,23.452086
2013/1/5 6:00,91459,10297,24.854757
2013/1/5 7:00,94846,10704,26.612791
2013/1/5 8:00,97396,10932,27.797249
2013/1/5 9:00,98158,11145,28.068818
2013/1/5 10:00,97338,11306,27.750797
2013/1/5 11:00,95426,11328,27.404819
2013/1/5 12:00,93001,11248,26.667855
2013/1/5 13:00,90761,11071,25.332688
2013/1/5 14:00,88864,10878,24.222117
2013/1/5 15:00,88397,10756,23.993779
2013/1/5 16:00,90771,10796,25.219794
2013/1/5 17:00,97619,11393,31.713983
2013/1/5 18:00,100917,12039,31.208902
2013/1/5 19:00,100887,12167,30.03162
2013/1/5 20:00,100274,12071,28.564763
2013/1/5 21:00,98310,11932,26.565448
2013/1/5 22:00,94813,11616,25.63827
2013/1/5 23:00,90229,11066,24.457542
2013/1/6 0:00,84534,10356,23.02499
2013/1/6 1:00,81846,9844,20.557356
2013/1/6 2:00,80519,9539,20.114613
2013/1/6 3:00,80068,9376,19.623413
2013/1/6 4:00,80424,9316,19.368297
2013/1/6 5:00,81852,9371,19.920387
2013/1/6 6:00,84026,9525,20.757097
2013/1/6 7:00,86699,9747,24.217119
2013/1/6 8:00,89219,9842,24.991196
2013/1/6 9:00,90492,10064,26.219298
2013/1/6 10:00,90266,10292,26.885907
2013/1/6 11:00,89438,10411,26.794661
2013/1/6 12:00,88523,10464,26.117437
2013/1/6 13:00,87416,10440,25.28976
2013/1/6 14:00,86528,10401,24.650901
2013/1/6 15:00,86779,10412,24.853993
2013/1/6 16:00,89907,10555,26.558414
2013/1/6 17:00,97193,11299,32.412693
2013/1/6 18:00,100453,12113,32.721203
2013/1/6 19:00,100335,12290,31.70567
2013/1/6 20:00,99728,12295,30.939479
2013/1/6 21:00,97060,12157,29.359993
2013/1/6 22:00,92787,11825,27.440793
2013/1/6 23:00,87792,11214,25.35217
2013/1/7 0:00,83315,10529,23.345332
2013/1/7 1:00,81519,10145,22.088921
